Source title,CiteScore,SNIP,SJR,PC1_score,impact_index,tier
"Sport, Exercise, and Performance Psychology",5.2,1.305,1.059,0.5502900421674959,5.198558943299994,C: Acceptable
Research in Developmental Disabilities,5.8,1.328,0.9,0.5493484997131667,5.195111306391886,C: Acceptable
Journal of Tourism and Cultural Change,6.5,1.317,0.752,0.5484536359847345,5.191834592523397,C: Acceptable
Journal of Pediatric Psychology,6,1.123,1.052,0.5466347883476902,5.1851745357040055,C: Acceptable
Action Research,5,1.698,0.711,0.5460838829865985,5.183157290865983,C: Acceptable
Research in Social Stratification and Mobility,4.4,1.489,1.051,0.545969868657669,5.182739805699315,C: Acceptable
Journal of Economic Psychology,4.7,1.13,1.333,0.5439836627145547,5.175466934587554,C: Acceptable
Review of Philosophy and Psychology,4.7,1.485,0.983,0.5432187179159685,5.172665943609244,C: Acceptable
International Journal of Sport Policy and Politics,4.7,1.523,0.941,0.5403620257704935,5.162205621580683,C: Acceptable
International Journal of Cultural Policy,4.3,1.854,0.698,0.535627383524095,5.144868827811775,C: Acceptable
European Addiction Research,6.3,1.105,0.981,0.5336332168611758,5.13756680700922,C: Acceptable
Cognitive Therapy and Research,5.1,1.107,1.248,0.5331637247858998,5.135847672413276,C: Acceptable
Science as Culture,5,1.534,0.849,0.5319427577104692,5.131376869069799,C: Acceptable
Frontiers in Psychology,6.3,1.213,0.872,0.5318579822519566,5.131066447592439,C: Acceptable
Memory and Cognition,4.6,1.32,1.149,0.5318552894632895,5.131056587434194,C: Acceptable
Socius,4.7,1.259,1.185,0.5309691432570697,5.1278117944325645,C: Acceptable
Psychological Research,5.3,1.275,1.034,0.5307148433423362,5.126880626891756,C: Acceptable
Psychology of Violence,4.2,1.32,1.226,0.5239560363546665,5.102131968646623,C: Acceptable
Sociological Inquiry,4.8,1.418,0.993,0.5228184161457833,5.09796635571911,C: Acceptable
Journal of Trust Research,4.5,1.641,0.84,0.5219867810729178,5.094921165607813,C: Acceptable
Self and Identity,5.1,1.203,1.135,0.5217283621830802,5.093974915655662,C: Acceptable
Leadership,4.9,1.431,0.953,0.5199114529378233,5.087321956626751,C: Acceptable
Synthese,4.1,1.512,1.052,0.5191481644895655,5.0845270306904355,C: Acceptable
Africa Spectrum,3.1,1.88,0.912,0.517156081369475,5.077232639176525,C: Acceptable
Health Sociology Review,5.4,1.369,0.897,0.5171459376608256,5.077195496056569,C: Acceptable
Journal of Experimental Psychology: Learning Memory and Cognition,4.5,1.238,1.227,0.5165385827745923,5.074971550537734,C: Acceptable
Race and Class,4.3,1.833,0.686,0.515662973792135,5.0717653415865485,C: Acceptable
Evidence and Policy,4.5,1.333,1.118,0.5069495038163774,5.0398593127633164,C: Acceptable
Journal of Strategic Studies,4.5,1.638,0.817,0.5061113318046163,5.036790186406023,C: Acceptable
International Journal of Integrated Care,4.5,1.343,1.106,0.5056181075320223,5.034984151852455,C: Acceptable
Psychological Inquiry,4.9,1.222,1.125,0.4995248679686546,5.012672595414371,C: Acceptable
Society Register,2.8,2.418,0.416,0.49579976354153704,4.999032416524464,C: Acceptable
Journal of Gambling Studies,4.7,1.197,1.183,0.4924794420645963,4.986874427452327,C: Acceptable
Archives of Sexual Behavior,4.9,1.275,1.051,0.48610536131580045,4.963534517558966,C: Acceptable
Journal of Child Language,4.3,1.522,0.943,0.4859739215645568,4.96305322589177,C: Acceptable
New Ideas in Psychology,5.1,1.368,0.913,0.4850762319240546,4.959766164408358,C: Acceptable
Journal of Islamic Law,5.1,1.253,1.023,0.4832558490324464,4.953100485962163,C: Acceptable
Women's Health Issues,4.9,1.097,1.217,0.48068076690244543,4.943671332606429,C: Acceptable
Journal of Aging and Health,5.3,1.08,1.143,0.4801974273082775,4.94190149268435,C: Acceptable
Current Psychology,5.2,1.223,1.024,0.4795884160717159,4.939671482123521,C: Acceptable
Journal of Applied Research in Intellectual Disabilities,4.2,1.531,0.946,0.47946633917143766,4.939224474317244,C: Acceptable
Identity,5.1,1.261,1.008,0.4788868114023501,4.937102423084403,C: Acceptable
Scandinavian Political Studies,3.7,1.42,1.161,0.4755297247442708,4.924809811303706,C: Acceptable
Cognitive Science,4.3,1.317,1.126,0.47472180503002964,4.921851459491952,C: Acceptable
American Review of Public Administration,4.7,1.25,1.101,0.4741652382226872,4.919813484190893,C: Acceptable
International Gambling Studies,5.4,1.12,1.071,0.4739404289920112,4.9189903024029675,C: Acceptable
Violence Against Women,4.7,1.352,0.996,0.47123096250845903,4.909069075158217,C: Acceptable
Time and Society,4.1,1.655,0.832,0.47049627962950336,4.906378893958636,C: Acceptable
Feminism and Psychology,4.2,1.656,0.807,0.46955409425194855,4.902928902864764,C: Acceptable
Symbolic Interaction,3.9,1.577,0.952,0.46952831459471656,4.902834505742954,C: Acceptable
Counseling Psychologist,4.3,1.298,1.132,0.466972593873289,4.893476247869928,C: Acceptable
Journal of Survey Statistics and Methodology,3.3,1.574,1.077,0.46168869299401666,4.874128239071802,C: Acceptable
Psychology of Men and Masculinity,5.1,1.283,0.957,0.46090654572042455,4.871264257956969,C: Acceptable
Local Government Studies,4.8,1.543,0.769,0.4609000135925844,4.871240339327568,C: Acceptable
Higher Education Policy,5.5,1.4,0.751,0.4602034057964953,4.868689577291049,C: Acceptable
Journal of Intelligence,4.7,1.348,0.978,0.4578136340333943,4.859938973115378,C: Acceptable
Digital Geography and Society,5.2,1.118,1.091,0.4574696852881644,4.858679539318102,C: Acceptable
Education Sciences,5.5,1.411,0.73,0.45396654012437604,4.8458521065182225,C: Acceptable
British Journal of Mathematical and Statistical Psychology,3.7,1.386,1.159,0.453869842149634,4.845498028478377,C: Acceptable
Counselling Psychology Quarterly,5.7,1.196,0.893,0.45197238789462285,4.838550138565452,C: Acceptable
Engineering Studies,4.4,1.555,0.829,0.4498123083562924,4.830640596190004,C: Acceptable
European Journal for Sport and Society,4.4,1.437,0.942,0.44802424206081193,4.824093251111617,C: Acceptable
Empirical Economics,5.6,1.347,0.76,0.4476061761765967,4.8225624233026165,C: Acceptable
Journal of Educational Measurement,3.1,1.579,1.093,0.4469780553451015,4.820262439322651,C: Acceptable
Journal of Organizational Change Management,6.4,1.144,0.777,0.44601264997557866,4.816727423808533,C: Acceptable
South Asian Journal of Business Studies,5.7,1.427,0.656,0.44581298710101974,4.815996320189845,C: Acceptable
Samarah,4.5,1.431,0.921,0.44532195062832547,4.814198296682032,C: Acceptable
British Journal of Developmental Psychology,4.6,1.358,0.968,0.4439532336579834,4.809186478975874,C: Acceptable
Education Inquiry,5.4,1.458,0.688,0.4427667541398863,4.804841958387875,C: Acceptable
World Englishes,3.2,1.887,0.76,0.44211696781520815,4.802462642080847,C: Acceptable
Journal of Applied Social Psychology,5.4,1.12,1.018,0.4415130601145217,4.800251319088023,C: Acceptable
Infant Mental Health Journal,4.6,1.093,1.224,0.4413013319782192,4.799476036216979,C: Acceptable
Sex Education,4.2,1.575,0.837,0.4392229477671633,4.791865636832097,C: Acceptable
"Psychology, Public Policy, and Law",4.5,1.42,0.921,0.43871023617917526,4.789988245764031,C: Acceptable
Gender in Management,5.3,1.309,0.844,0.43490199339965224,4.77604363997238,C: Acceptable
Health and Social Care in the Community,5.4,1.078,1.045,0.43278793523082737,4.768302613601006,C: Acceptable
Scholarship of Teaching and Learning in Psychology,5.6,1.318,0.764,0.43262264122336486,4.767697358130903,C: Acceptable
Journal of Language and Sexuality,4.5,1.478,0.854,0.4325789143163581,4.767537243737992,C: Acceptable
Health Reports,4.8,1.085,1.172,0.4321826374266184,4.766086200479544,C: Acceptable
Journal of Children and Media,5.7,1.171,0.884,0.4314392298088676,4.763364071988213,C: Acceptable
American Journal of Evaluation,4.5,1.511,0.817,0.4297760831644288,4.757274143989108,C: Acceptable
Gender and History,1,2.987,0.153,0.42934433896764024,4.7556932304351145,C: Acceptable
Perspectives on Behavior Science,4.1,1.431,0.979,0.4257977916956966,4.74270687255514,C: Acceptable
Anthropology and Education Quarterly,3.5,1.743,0.807,0.4255779961769907,4.741902049427896,C: Acceptable
Psychology Learning and Teaching,4.8,1.322,0.923,0.42228758054896914,4.729853566313803,C: Acceptable
Advances in Decision Sciences,8.3,0.632,0.814,0.4222062594925865,4.7295557937873465,C: Acceptable
Cognitive Systems Research,6.1,1.347,0.604,0.4209229729316207,4.724856795785798,C: Acceptable
Race and Justice,6.1,1.19,0.757,0.4201668595344285,4.722088142664646,C: Acceptable
American Anthropologist,3.9,1.645,0.802,0.4186251588946808,4.716442912327542,C: Acceptable
Armed Forces and Society,3.5,1.84,0.697,0.4165792099699894,4.708951280917361,C: Acceptable
Urban Governance,5.6,1.255,0.796,0.41433433813445253,4.70073125540647,C: Acceptable
Political Studies Review,4.4,1.349,0.971,0.41287380377793553,4.6953832308644685,C: Acceptable
Stigma and Health,5.8,1.051,0.947,0.4116098545702669,4.6907550402626565,C: Acceptable
Chinese Journal of Population Resources and Environment,5.9,0.829,1.14,0.4100106837616916,4.684899371963618,C: Acceptable
Journal of Occupational Science,5,1.369,0.798,0.40156334639299174,4.653967838336353,C: Acceptable
System Dynamics Review,4.2,1.542,0.804,0.3991971785148611,4.645303664278225,C: Acceptable
Cross-Cultural Research,4.6,1.342,0.909,0.39823780268993875,4.641790727089315,C: Acceptable
Modern Intellectual History,2,2.357,0.495,0.3974485092316131,4.6389005788588875,C: Acceptable
Journal of Sociology,4.7,1.392,0.836,0.39737961672426775,4.63864831583036,C: Acceptable
Annals of Leisure Research,5.8,1.318,0.661,0.39710877169092024,4.637656565188577,C: Acceptable
Youth Justice,4.3,1.593,0.726,0.3958808717559533,4.633160375860319,C: Acceptable
Journal of Experimental Psychology: Human Perception and Performance,3.8,1.222,1.202,0.3953568661417954,4.6312416295657455,C: Acceptable
Emerging Adulthood,4.9,1.139,1.031,0.3921237851536708,4.619403088148613,C: Acceptable
Journal of Black Psychology,4.3,1.306,1,0.3910186098532629,4.61535627842899,C: Acceptable
Journal of Urban Affairs,5.3,1.293,0.787,0.3904102367288713,4.613128604437329,C: Acceptable
International Studies in Sociology of Education,4.2,1.575,0.755,0.3890523015793492,4.608156266420297,C: Acceptable
Journal of Digital Economy,5.5,1.174,0.854,0.38738195342304044,4.602039968714757,C: Acceptable
Global Transitions,6.1,1.046,0.844,0.386843338676528,4.600067728301389,C: Acceptable
Criminal Justice and Behavior,4.1,1.402,0.943,0.3863407707971895,4.59822748035328,C: Acceptable
International Relations of the Asia-Pacific,3.8,1.754,0.664,0.38595503353674027,4.596815029953573,C: Acceptable
Human Rights Law Review,2.9,1.922,0.699,0.3845741398310008,4.591758624813059,C: Acceptable
Defence and Peace Economics,4.2,1.574,0.741,0.3798855165485802,4.574590338239927,C: Acceptable
Journal of Health Communication,5.2,1.1,0.975,0.3756774069482572,4.559181543973949,C: Acceptable
"Equality, Diversity and Inclusion",4.5,1.384,0.852,0.37485513472635706,4.556170637723572,C: Acceptable
Journal of Phenomenological Psychology,2.2,2.097,0.666,0.37330113144439186,4.550480358920325,C: Acceptable
PNAS Nexus,3.5,1.254,1.198,0.37088556077983725,4.541635287156463,C: Acceptable
Asian Population Studies,3.7,1.511,0.895,0.36747795365116,4.529157685056689,C: Acceptable
African Affairs,4.3,1.407,0.862,0.36729264328426,4.528479135876626,C: Acceptable
American Journal of Health Promotion,4.9,1.032,1.091,0.36452006442985074,4.518326810673282,C: Acceptable
Drug and Alcohol Review,4.9,1.089,1.033,0.36329421195479766,4.5138381185092085,C: Acceptable
Gender Issues,4.9,1.441,0.683,0.3607260723064434,4.504434386371444,C: Acceptable
Demographic Research,4.1,1.302,0.992,0.3562142960878781,4.487913658983386,C: Acceptable
"Bulletin of Science, Technology and Society",5.8,1.098,0.807,0.3542027064081726,4.4805478404886,C: Acceptable
Sustainable Futures,4,1.389,0.923,0.3525375050872371,4.4744503889004195,C: Acceptable
Neuropsychological Rehabilitation,5.4,1.188,0.804,0.35145232690204553,4.470476802424378,C: Acceptable
Journal of Behavioral Medicine,5.5,0.927,1.033,0.3484377603972309,4.459438393379559,C: Acceptable
Feminist Legal Studies,3.6,1.508,0.889,0.3482510575212811,4.458754745262563,C: Acceptable
Music Educators Journal,1.1,2.62,0.357,0.3473209590552187,4.45534901269572,C: Acceptable
"City, Culture and Society",5.3,1.266,0.743,0.3472606485411548,4.455128174269075,C: Acceptable
Archaeological and Anthropological Sciences,4.4,1.319,0.888,0.3440593719438075,4.443406090682368,C: Acceptable
SSM - Mental Health,4.2,1.057,1.19,0.34384981717423907,4.442638766007296,C: Acceptable
Humanities and Social Sciences Communications,4.2,1.443,0.81,0.34336277136430143,4.440855355070742,C: Acceptable
Memory Studies,2.9,1.889,0.662,0.34210102198417114,4.436235219556172,C: Acceptable
Journal of Experimental Child Psychology,4,1.174,1.116,0.3413931105398014,4.433643067059957,C: Acceptable
International Health,5.4,1.082,0.89,0.3403574369925771,4.42985075123846,C: Acceptable
Journal of Cognition and Development,4,1.15,1.136,0.3392042947142932,4.425628301299392,C: Acceptable
"BMJ Nutrition, Prevention and Health",6.1,0.898,0.911,0.3388788150462989,4.4244364955437865,C: Acceptable
Motivation and Emotion,4.3,1.154,1.064,0.3388143149774472,4.424200316264853,C: Acceptable
"Crime, Media, Culture",4.5,1.421,0.754,0.3371344973075743,4.418049344132987,C: Acceptable
Journal of Community and Applied Social Psychology,4.2,1.264,0.975,0.33672527485239157,4.416550898222633,C: Acceptable
Bestuur,6.6,1.131,0.566,0.33660652404189534,4.416116069527174,C: Acceptable
International Journal of Cultural Studies,3.7,1.665,0.693,0.3364508519156218,4.415546046406456,C: Acceptable
Australian Journal of Social Issues,4.6,1.332,0.817,0.3359381355165784,4.413668637721795,C: Acceptable
Journal of Family Psychology,4.1,1.175,1.083,0.3355562279731915,4.412270210560055,C: Acceptable
School Psychology International,4.5,1.276,0.889,0.3325780946340811,4.401365208486087,C: Acceptable
Journal of Social Ontology,2.3,2.122,0.549,0.3304954871908497,4.393739344932752,C: Acceptable
International Journal of Gastronomy and Food Science,6.2,1.09,0.685,0.32976076822897926,4.39104903160871,C: Acceptable
Discourse Studies,3,1.62,0.883,0.3293832386909198,4.389666635346778,C: Acceptable
Publius: The Journal of Federalism,4.7,1.288,0.827,0.3293623275946163,4.38959006538748,C: Acceptable
International Journal of Human Rights,3.3,1.904,0.535,0.3284243919100412,4.386155635353332,C: Acceptable
European Journal of Women's Studies,3.5,1.691,0.698,0.32763236958013353,4.383255494840197,C: Acceptable
Critical Policy Studies,4.3,1.457,0.741,0.32331359579593943,4.367441482601344,C: Acceptable
British Journal of Sociology of Education,3.5,1.41,0.961,0.3196462887420287,4.3540129397944884,C: Acceptable
Ethnos,4.4,1.378,0.789,0.3189503262746929,4.351464540752031,C: Acceptable
Transgender Studies Quarterly,2.6,2.01,0.572,0.31850650238299466,4.349839395095896,C: Acceptable
Aphasiology,4.7,1.287,0.809,0.31774819396931975,4.347062704504097,C: Acceptable
Journal of Policy and Practice in Intellectual Disabilities,4.1,1.451,0.782,0.3172871724136712,4.345374586328034,C: Acceptable
Legal and Criminological Psychology,4.8,1.345,0.726,0.31558015611671186,4.339124021246151,C: Acceptable
Evolutionary Human Sciences,4.6,1.116,0.991,0.31256777019521437,4.328093596822194,C: Acceptable
Public Choice,4.1,1.359,0.855,0.3066533088709065,4.306436670934773,C: Acceptable
International Journal of Child Care and Education Policy,4.5,1.496,0.629,0.3057347249727946,4.303073101150146,C: Acceptable
Political Theory,2.4,1.892,0.712,0.30573268232393597,4.303065621602556,C: Acceptable
Journal of Leisure Research,4.9,1.277,0.754,0.3055918580719779,4.302549966799764,C: Acceptable
Journal of Consumer Affairs,5.9,0.974,0.826,0.30504823683007837,4.300559394150611,C: Acceptable
Studies in Comparative International Development,4,1.443,0.791,0.3042325087636569,4.297572450571121,C: Acceptable
Focaal,2.6,1.893,0.662,0.30324724661890384,4.293964725694993,C: Acceptable
Journal of Social Psychology,4.7,1.124,0.945,0.3029844593458493,4.293002480076223,C: Acceptable
Journal of Community Psychology,5.4,0.995,0.912,0.3015252036192003,4.287659137480855,C: Acceptable
Current Developmental Disorders Reports,4,1.329,0.898,0.30117767937607587,4.286386611317484,C: Acceptable
Innovation and Development,5.2,1.297,0.658,0.3001348259667305,4.2825680050642285,C: Acceptable
Psychological Reports,6.4,0.914,0.763,0.299201991412503,4.279152253789788,C: Acceptable
Asian Business and Management,6.2,1,0.721,0.2976910600866805,4.2736196911522,C: Acceptable
Scandinavian Journal of Management,4.2,1.059,1.11,0.2961049751835343,4.267811939386639,C: Acceptable
Politics and Religion,3.8,1.519,0.747,0.29548725364134315,4.265550034383843,C: Acceptable
Studies in Family Planning,4.1,1.146,1.045,0.2948755327774206,4.2633101020066855,C: Acceptable
"European Journal of Investigation in Health, Psychology and Education",5.1,1.087,0.876,0.293539006496386,4.258416156636547,C: Acceptable
Journal of Applied Developmental Psychology,4.2,1.145,1.02,0.2927312175000205,4.255458283473177,C: Acceptable
Leisure Sciences,5.4,1.285,0.608,0.2898355459127026,4.244855230799028,C: Acceptable
Facets,5.7,1.052,0.767,0.28832755437813207,4.2393334327666645,C: Acceptable
Royal Society Open Science,5.3,1.115,0.795,0.28831537283167935,4.239288827715713,C: Acceptable
Health Equity,4.1,0.986,1.191,0.2880333644900373,4.238256200495805,C: Acceptable
Race and Social Problems,5.1,1.188,0.767,0.2875563172377075,4.23650940118104,C: Acceptable
Journal of Physiological Anthropology,5.6,1.174,0.668,0.2873329221658304,4.235691397604724,C: Acceptable
Journal of Managerial Psychology,4.4,0.971,1.135,0.28601254508276935,4.2308565855967775,C: Acceptable
Review of Policy Research,6,0.986,0.756,0.283185094213239,4.220503336065822,C: Acceptable
Social Semiotics,4.5,1.551,0.537,0.2825042795444122,4.218010403570811,C: Acceptable
Journal of Current Chinese Affairs,3.8,1.589,0.657,0.2824964567590656,4.2179817589532895,C: Acceptable
Affilia - Feminist Inquiry in Social Work,4.5,1.288,0.793,0.2810545077644936,4.212701788251554,C: Acceptable
Psychology Research and Behavior Management,5.1,1.018,0.92,0.27898635949151995,4.205128869702252,C: Acceptable
PLOS ONE,5.4,1.065,0.803,0.27690950091291705,4.197524056710981,C: Acceptable
International Migration,4.4,1.236,0.858,0.275815866641264,4.1935195066648445,C: Acceptable
Infancy,4.2,1.006,1.128,0.275261601513003,4.1914899593998385,C: Acceptable
Journal of the Royal Anthropological Institute,3,1.558,0.854,0.27437393448538555,4.188239597621191,C: Acceptable
Group Decision and Negotiation,6.8,0.905,0.641,0.27415898828338675,4.18745253119008,C: Acceptable
International Journal of Social Determinants of Health and Health Services,6.4,0.784,0.844,0.2706223569617295,4.174502482449465,C: Acceptable
American Politics Research,3.3,1.223,1.109,0.2702936843273563,4.17329898503972,C: Acceptable
American Journal of Biological Anthropology,4.7,1.151,0.861,0.26781889250868535,4.164237063748008,C: Acceptable
European Journal of Politics and Gender,3.8,1.327,0.89,0.2675754955105365,4.163345819311517,C: Acceptable
"Mind, Brain, and Education",4,1.194,0.974,0.26653353443252925,4.159530480499301,C: Acceptable
Social and Legal Studies,3.8,1.6,0.619,0.26585835956020437,4.157058199192652,C: Acceptable
Language and Speech,3.8,1.444,0.772,0.26570331111293494,4.156490459791318,C: Acceptable
Journal of Applied Research in Memory and Cognition,4.7,1.011,0.993,0.2644323031389102,4.151836422172939,C: Acceptable
Women in Sport and Physical Activity Journal,3.8,1.026,1.175,0.2610285329438784,4.139372869736023,C: Acceptable
"Memory, Mind and Media",2.9,1.781,0.634,0.2600545672308229,4.135806508894699,C: Acceptable
Psychosomatic Medicine,5.4,0.838,0.998,0.2597760012636723,4.134786486584208,C: Acceptable
Parliamentary Affairs,4,1.231,0.924,0.25818108014807667,4.128946379344892,C: Acceptable
Journal for Person-Oriented Research,2.8,1.438,0.989,0.2573387987833219,4.1258622058094465,C: Acceptable
Transgender Health,5,1.022,0.903,0.2572367093761495,4.1254883860135605,C: Acceptable
Evaluation,4.3,1.283,0.803,0.2566621977245597,4.123384702249699,C: Acceptable
Fudan Journal of the Humanities and Social Sciences,5.1,1.352,0.555,0.2564214935150781,4.122503317971454,C: Acceptable
Behavioral Medicine,5.4,0.925,0.903,0.2539441227869219,4.113431953511796,C: Acceptable
Journal of Disability Policy Studies,4.2,1.47,0.636,0.2531318611502683,4.1104577029246965,C: Acceptable
"REICE. Revista Iberoamericana Sobre Calidad, Eficacia y Cambio en Educacion",3.8,1.701,0.497,0.2519217873693115,4.106026787452346,C: Acceptable
Problems of Post-Communism,4.8,1.462,0.505,0.2506887454100267,4.101511769623323,C: Acceptable
Cambridge Archaeological Journal,3.6,1.259,0.974,0.25059204262422935,4.101157673966884,C: Acceptable
BMC Psychology,3.8,1.155,1.03,0.24984952493228893,4.0984388041082935,C: Acceptable
Identities,4.1,1.474,0.647,0.2485136511965904,4.093547248157108,C: Acceptable
German Politics,4.5,1.193,0.833,0.24842682346710876,4.09322931189897,C: Acceptable
Social Politics,4.4,1.248,0.8,0.24754209141968792,4.089989697108951,C: Acceptable
European Journal for Philosophy of Science,3.6,1.256,0.971,0.2469533363285656,4.0878338582801685,C: Acceptable
Organizational Dynamics,6.9,0.637,0.836,0.24613450407562937,4.084835548130909,C: Acceptable
Journal of Genocide Research,6,1.152,0.53,0.2446866803096086,4.079534065835321,C: Acceptable
Couple and Family Psychology: Research and Practice,5.4,0.83,0.979,0.24334257584028468,4.074612371486342,C: Acceptable
Journal of Cognitive Engineering and Decision Making,4.9,1.186,0.739,0.2417173903995307,4.06866144566,C: Acceptable
Environmental Humanities,2,2.059,0.533,0.24158096580264912,4.068161901031693,C: Acceptable
Applied Cognitive Psychology,4.4,1.108,0.927,0.2410963163067535,4.066387264655114,C: Acceptable
International Journal of Wellbeing,4.3,1.171,0.887,0.24073724381829115,4.065072452393364,C: Acceptable
Legality: Jurnal Ilmiah Hukum,4.1,1.313,0.792,0.2404585808106523,4.064052074750654,C: Acceptable
Scientific African,5.8,1.109,0.609,0.23967066542821053,4.061166972607375,C: Acceptable
American Journal of Speech-Language Pathology,4,1.248,0.877,0.23964283831106478,4.06106507832138,C: Acceptable
Journal of Gay and Lesbian Mental Health,4.4,1.121,0.911,0.23912076627763892,4.059153412200692,C: Acceptable
Natural Sciences,5.4,0.921,0.88,0.23746760856869772,4.053100060590189,C: Acceptable
Revista de Psicologia del Trabajo y de las Organizaciones,5.5,1.021,0.757,0.2360708126675695,4.047985426534461,C: Acceptable
Asian American Journal of Psychology,4.4,1.06,0.965,0.23549501035847348,4.045877016782478,C: Acceptable
Journal of Benefit-Cost Analysis,3.4,1.183,1.067,0.2343066044762273,4.0415254424454865,C: Acceptable
Revista de Investigacoes Constitucionais,1.7,1.184,1.445,0.23238657900757004,4.03449490373763,C: Acceptable
Contemporary Social Science,5.9,1.079,0.602,0.23110853527842481,4.029815103362703,C: Acceptable
Ethnicities,3.4,1.487,0.763,0.23103185606864804,4.029534327841116,C: Acceptable
Journal of General Psychology,5.4,0.906,0.883,0.23028714576575232,4.026807429320176,C: Acceptable
Volksgeist: Jurnal Ilmu Hukum dan Konstitusi,4,1.224,0.884,0.22950013955334225,4.023925656276018,C: Acceptable
Consumption Markets and Culture,4.9,1.003,0.898,0.22900461119613869,4.022111184878095,C: Acceptable
International Journal of Bullying Prevention,5.7,1.072,0.65,0.22876390698665702,4.02122980059985,C: Acceptable
Oxford Bulletin of Economics and Statistics,3.5,1.235,0.984,0.22853217692408315,4.0203812768686324,C: Acceptable
Behavioral Sleep Medicine,5.3,0.977,0.832,0.22800638424172115,4.018455986883682,C: Acceptable
Journal of Behavioral Decision Making,3.7,1.105,1.064,0.2268460621013166,4.014207246512856,C: Acceptable
International Journal of Developmental Disabilities,4.7,1.245,0.7,0.22581321687169006,4.010425287114581,C: Acceptable
South Atlantic Quarterly,2.8,1.733,0.647,0.22540465417842664,4.008929257048073,C: Acceptable
Business and Human Rights Journal,4.4,1.221,0.79,0.22519496628545527,4.008161444916322,C: Acceptable
Journal of Chinese Governance,5,1.059,0.812,0.22379893199778975,4.003049599653252,C: Acceptable
Group Dynamics,5.1,1.066,0.781,0.2227921134279801,3.9993629418237675,C: Acceptable
Brain and Language,4.6,1.028,0.93,0.22235198853546892,3.997751340757217,C: Acceptable
Journal of Pacific Rim Psychology,5.1,1.047,0.798,0.22177311090618998,3.995631670135033,C: Acceptable
Contemporary Drug Problems,4.3,1.132,0.891,0.21974305936583186,3.988198250023468,C: Acceptable
Arabian Journal for Science and Engineering,6.5,1.003,0.521,0.21838486037503116,3.9832249459013744,C: Acceptable
Journal of Egyptian Public Health Association,5.5,1.081,0.665,0.21584569198880085,3.9739272975542175,C: Acceptable
Politics and Governance,5.2,1.008,0.804,0.21575527913931408,3.9735962336967945,C: Acceptable
Journal of Risk Research,6,0.997,0.634,0.21515267652929987,3.971389689541876,C: Acceptable
Kybernetes,6.1,1,0.606,0.21357710960569484,3.9656204513603783,C: Acceptable
Human Studies,2.3,1.942,0.533,0.21251440182664708,3.9617291445534115,C: Acceptable
Health Psychology and Behavioral Medicine,4.3,1.017,0.992,0.21241614213653698,3.9613693479954915,C: Acceptable
Journal of Classification,4.2,1.326,0.71,0.21185445736015332,3.959312632276642,C: Acceptable
Cognitive Linguistics,2.8,1.65,0.706,0.21161465510412028,3.9584345506726244,C: Acceptable
European Journal of Social Work,3.4,1.492,0.726,0.2113992063188821,3.9576456439373215,C: Acceptable
Journal of Family Issues,4.2,1.135,0.896,0.21085276157044017,3.9556447324815407,C: Acceptable
China Information,4.2,1.272,0.758,0.20876513319865575,3.9480004838426326,C: Acceptable
HAHR - Hispanic American Historical Review,1.1,2.381,0.365,0.2085611332127395,3.9472534990651917,C: Acceptable
Learning Disabilities Research and Practice,3.3,1.435,0.798,0.20743810048646208,3.943141300981795,C: Acceptable
International Review of Victimology,3.7,1.353,0.787,0.20643127951112472,3.9394546343440124,C: Acceptable
Social Work Education,3.4,1.546,0.664,0.20592281039953345,3.937592777910779,C: Acceptable
Al-Manahij: Jurnal Kajian Hukum Islam,4.1,1.095,0.947,0.20426117976543698,3.9315084010720973,C: Acceptable
Journal of Political Marketing,5.4,1.124,0.624,0.20285348335325223,3.926353852720352,C: Acceptable
Environmental Hazards,6.1,0.998,0.59,0.20258558532773935,3.9253728931086833,C: Acceptable
Social Epistemology,3.5,1.475,0.705,0.20208520043724562,3.923540638589735,C: Acceptable
International Review of Social Psychology,3.8,1.149,0.957,0.20157902338262532,3.9216871749593665,C: Acceptable
Journal of Reproductive and Infant Psychology,5,1.058,0.773,0.19933621825122377,3.9134747170790414,C: Acceptable
American Journal of Orthopsychiatry,3.9,1.008,1.068,0.19849546732997753,3.9103961475538034,C: Acceptable
Methodology,3.4,1.472,0.722,0.19693055872589987,3.9046659368379415,C: Acceptable
Journal of Marital and Family Therapy,4.3,1.276,0.71,0.19555388825233583,3.89962499586588,C: Acceptable
Representation,3.7,1.216,0.903,0.19505849061300778,3.8978110031163395,C: Acceptable
Tourism and Management Studies,5.4,1.193,0.541,0.1935444815614751,3.892267170800255,C: Acceptable
Capital and Class,3,1.708,0.574,0.1932192753568698,3.891076366382899,C: Acceptable
Environmental Sociology,5.1,0.922,0.872,0.191915941164607,3.886303960163525,C: Acceptable
Life Medicine,3.7,0.446,1.651,0.18989266634914634,3.878895354320042,C: Acceptable
Bioethics,4.5,1.16,0.769,0.18943410260721816,3.8772162358967326,C: Acceptable
Studies in History and Philosophy of Science,3.2,1.208,1.012,0.18817682827290358,3.87261248661419,C: Acceptable
"Religion, Brain and Behavior",4.8,1.005,0.847,0.18525036812743878,3.8618966957741447,C: Acceptable
Sociological Science,3,1.057,1.197,0.18310053655482908,3.8540246782757634,C: Acceptable
Economics and Human Biology,4.1,0.974,1.031,0.1829266413098637,3.853387927737399,C: Acceptable
